"gene","seqid","type"
"ENSMUSG00000038909","11","gene"
"ENSMUSG00000038910","17","gene"
"ENSMUSG00000038914","2","gene"
"ENSMUSG00000038916","10","gene"
"ENSMUSG00000038917","8","ncRNA_gene"
"ENSMUSG00000038925","14","pseudogene"
"ENSMUSG00000038930","7","gene"
"ENSMUSG00000038932","2","gene"
"ENSMUSG00000038936","1","gene"
"ENSMUSG00000038943","7","gene"
"ENSMUSG00000038949","1","gene"
"ENSMUSG00000038954","17","gene"
"ENSMUSG00000038957","9","gene"
"ENSMUSG00000038963","2","gene"
"ENSMUSG00000038965","16","gene"
"ENSMUSG00000038967","11","gene"
"ENSMUSG00000038968","7","gene"
"ENSMUSG00000038970","5","gene"
"ENSMUSG00000038973","7","gene"
"ENSMUSG00000038975","3","gene"
"ENSMUSG00000038976","11","gene"
"ENSMUSG00000038980","2","gene"
"ENSMUSG00000038982","13","gene"
"ENSMUSG00000038984","15","gene"
"ENSMUSG00000038987","2","gene"
"ENSMUSG00000038990","2","gene"
"ENSMUSG00000038991","13","gene"
"ENSMUSG00000038994","11","gene"
"ENSMUSG00000038997","3","gene"
"ENSMUSG00000039000","5","gene"
"ENSMUSG00000039001","2","gene"
"ENSMUSG00000039004","13","gene"
"ENSMUSG00000039005","4","gene"
"ENSMUSG00000039007","15","gene"
"ENSMUSG00000039013","7","gene"
"ENSMUSG00000039016","9","gene"
"ENSMUSG00000039018","7","gene"
"ENSMUSG00000039021","2","gene"
"ENSMUSG00000039031","10","gene"
"ENSMUSG00000039032","6","gene"
"ENSMUSG00000039033","2","gene"
"ENSMUSG00000039037","3","gene"
"ENSMUSG00000039041","2","gene"
"ENSMUSG00000039043","7","gene"
"ENSMUSG00000039046","2","gene"
"ENSMUSG00000039047","3","gene"
"ENSMUSG00000039048","9","gene"
"ENSMUSG00000039050","2","gene"
"ENSMUSG00000039055","11","gene"
"ENSMUSG00000039057","8","gene"
"ENSMUSG00000039058","3","gene"
"ENSMUSG00000039059","2","gene"
"ENSMUSG00000039062","7","gene"
"ENSMUSG00000039063","2","gene"
"ENSMUSG00000039065","15","gene"
"ENSMUSG00000039067","8","gene"
"ENSMUSG00000039068","3","gene"
"ENSMUSG00000039069","2","gene"
"ENSMUSG00000039070","6","gene"
"ENSMUSG00000039079","8","gene"
"ENSMUSG00000039081","14","gene"
"ENSMUSG00000039084","11","gene"
"ENSMUSG00000039086","2","gene"
"ENSMUSG00000039087","13","gene"
"ENSMUSG00000039089","10","gene"
"ENSMUSG00000039092","2","gene"
"ENSMUSG00000039095","5","gene"
"ENSMUSG00000039096","11","gene"
"ENSMUSG00000039097","19","gene"
"ENSMUSG00000039098","10","ncRNA_gene"
"ENSMUSG00000039099","7","gene"
"ENSMUSG00000039100","15","gene"
"ENSMUSG00000039103","3","gene"
"ENSMUSG00000039105","4","gene"
"ENSMUSG00000039106","5","gene"
"ENSMUSG00000039108","2","gene"
"ENSMUSG00000039109","13","gene"
"ENSMUSG00000039110","11","gene"
"ENSMUSG00000039114","13","gene"
"ENSMUSG00000039115","9","gene"
"ENSMUSG00000039116","10","gene"
"ENSMUSG00000039117","2","gene"
"ENSMUSG00000039126","19","gene"
"ENSMUSG00000039128","2","gene"
"ENSMUSG00000039130","6","gene"
"ENSMUSG00000039131","3","gene"
"ENSMUSG00000039133","7","ncRNA_gene"
"ENSMUSG00000039137","4","gene"
"ENSMUSG00000039138","2","ncRNA_gene"
"ENSMUSG00000039145","2","gene"
"ENSMUSG00000039146","3","gene"
"ENSMUSG00000039148","19","gene"
"ENSMUSG00000039153","17","gene"
"ENSMUSG00000039154","17","gene"
"ENSMUSG00000039155","2","gene"
"ENSMUSG00000039156","5","gene"
"ENSMUSG00000039157","2","gene"
"ENSMUSG00000039158","4","gene"
"ENSMUSG00000039159","6","gene"
"ENSMUSG00000039163","9","gene"
"ENSMUSG00000039164","2","gene"
"ENSMUSG00000039166","10","gene"
"ENSMUSG00000039167","3","gene"
"ENSMUSG00000039168","15","gene"
"ENSMUSG00000039174","3","gene"
"ENSMUSG00000039176","7","gene"
"ENSMUSG00000039178","5","gene"
"ENSMUSG00000039179","16","gene"
"ENSMUSG00000039182","13","gene"
"ENSMUSG00000039183","17","gene"
"ENSMUSG00000039187","7","gene"
"ENSMUSG00000039191","5","gene"
"ENSMUSG00000039193","17","gene"
"ENSMUSG00000039194","7","gene"
"ENSMUSG00000039195","2","gene"
"ENSMUSG00000039196","4","gene"
"ENSMUSG00000039197","14","gene"
"ENSMUSG00000039198","11","gene"
"ENSMUSG00000039199","8","gene"
"ENSMUSG00000039200","16","gene"
"ENSMUSG00000039201","X","gene"
"ENSMUSG00000039202","7","gene"
"ENSMUSG00000039205","2","gene"
"ENSMUSG00000039206","5","gene"
"ENSMUSG00000039208","11","gene"
"ENSMUSG00000039209","16","gene"
"ENSMUSG00000039210","1","gene"
"ENSMUSG00000039215","6","gene"
"ENSMUSG00000039217","9","gene"
"ENSMUSG00000039218","17","gene"
"ENSMUSG00000039219","13","gene"
"ENSMUSG00000039220","17","gene"
"ENSMUSG00000039221","3","gene"
"ENSMUSG00000039224","1","gene"
"ENSMUSG00000039230","11","gene"
"ENSMUSG00000039231","X","gene"
"ENSMUSG00000039232","10","gene"
"ENSMUSG00000039233","13","gene"
"ENSMUSG00000039234","3","gene"
"ENSMUSG00000039236","7","gene"
"ENSMUSG00000039238","11","gene"
"ENSMUSG00000039239","1","gene"
"ENSMUSG00000039242","13","gene"
"ENSMUSG00000039244","5","gene"
"ENSMUSG00000039246","1","gene"
"ENSMUSG00000039252","5","gene"
"ENSMUSG00000039253","11","gene"
"ENSMUSG00000039254","2","gene"
"ENSMUSG00000039257","7","gene"
"ENSMUSG00000039262","2","gene"
"ENSMUSG00000039263","2","gene"
"ENSMUSG00000039264","6","gene"
"ENSMUSG00000039269","17","gene"
"ENSMUSG00000039270","4","gene"
"ENSMUSG00000039275","11","gene"
"ENSMUSG00000039278","X","gene"
"ENSMUSG00000039285","9","gene"
"ENSMUSG00000039286","3","gene"
"ENSMUSG00000039294","11","gene"
"ENSMUSG00000039296","5","gene"
"ENSMUSG00000039298","4","gene"
"ENSMUSG00000039304","3","gene"
"ENSMUSG00000039307","11","gene"
"ENSMUSG00000039308","14","gene"
"ENSMUSG00000039313","9","gene"
"ENSMUSG00000039315","5","gene"
"ENSMUSG00000039316","17","gene"
"ENSMUSG00000039318","1","gene"
"ENSMUSG00000039321","11","gene"
"ENSMUSG00000039323","1","gene"
"ENSMUSG00000039328","8","gene"
"ENSMUSG00000039329","11","gene"
"ENSMUSG00000039330","19","gene"
"ENSMUSG00000039335","3","gene"
"ENSMUSG00000039337","11","gene"
"ENSMUSG00000039339","10","pseudogene"
"ENSMUSG00000039342","1","gene"
"ENSMUSG00000039345","16","gene"
"ENSMUSG00000039347","6","gene"
"ENSMUSG00000039349","1","gene"
"ENSMUSG00000039354","1","gene"
"ENSMUSG00000039356","2","gene"
"ENSMUSG00000039357","14","gene"
"ENSMUSG00000039358","5","gene"
"ENSMUSG00000039361","7","gene"
"ENSMUSG00000039364","11","gene"
"ENSMUSG00000039367","14","gene"
"ENSMUSG00000039372","1","gene"
"ENSMUSG00000039375","8","gene"
"ENSMUSG00000039376","14","gene"
"ENSMUSG00000039377","1","gene"
"ENSMUSG00000039382","X","gene"
"ENSMUSG00000039384","1","gene"
"ENSMUSG00000039385","15","gene"
"ENSMUSG00000039391","7","gene"
"ENSMUSG00000039395","1","gene"
"ENSMUSG00000039396","8","gene"
"ENSMUSG00000039405","7","gene"
"ENSMUSG00000039410","4","gene"
"ENSMUSG00000039414","17","gene"
"ENSMUSG00000039419","6","gene"
"ENSMUSG00000039427","16","gene"
"ENSMUSG00000039428","7","gene"
"ENSMUSG00000039431","8","gene"
"ENSMUSG00000039438","9","gene"
"ENSMUSG00000039449","2","gene"
"ENSMUSG00000039450","11","gene"
"ENSMUSG00000039452","9","gene"
"ENSMUSG00000039456","16","gene"
"ENSMUSG00000039457","16","gene"
"ENSMUSG00000039458","15","gene"
"ENSMUSG00000039461","9","gene"
"ENSMUSG00000039462","10","gene"
"ENSMUSG00000039463","2","gene"
"ENSMUSG00000039470","8","gene"
"ENSMUSG00000039473","16","gene"
"ENSMUSG00000039474","5","gene"
"ENSMUSG00000039476","2","gene"
"ENSMUSG00000039477","5","gene"
"ENSMUSG00000039478","8","gene"
"ENSMUSG00000039480","10","gene"
"ENSMUSG00000039481","17","gene"
"ENSMUSG00000039483","2","gene"
"ENSMUSG00000039485","10","gene"
"ENSMUSG00000039488","9","gene"
"ENSMUSG00000039492","4","gene"
"ENSMUSG00000039496","2","gene"
"ENSMUSG00000039497","10","gene"
"ENSMUSG00000039501","2","gene"
"ENSMUSG00000039508","10","gene"
"ENSMUSG00000039509","8","gene"
"ENSMUSG00000039512","17","gene"
"ENSMUSG00000039515","2","gene"
"ENSMUSG00000039518","17","gene"
"ENSMUSG00000039519","3","gene"
"ENSMUSG00000039521","X","gene"
"ENSMUSG00000039523","4","gene"
"ENSMUSG00000039529","18","gene"
"ENSMUSG00000039531","10","gene"
"ENSMUSG00000039533","5","gene"
"ENSMUSG00000039536","2","gene"
"ENSMUSG00000039539","8","gene"
"ENSMUSG00000039540","18","gene"
"ENSMUSG00000039542","9","gene"
"ENSMUSG00000039543","14","gene"
"ENSMUSG00000039545","X","ncRNA_gene"
"ENSMUSG00000039546","4","gene"
"ENSMUSG00000039552","10","gene"
"ENSMUSG00000039555","4","gene"
"ENSMUSG00000039556","X","gene"
"ENSMUSG00000039563","5","ncRNA_gene"
"ENSMUSG00000039568","16","gene"
"ENSMUSG00000039577","4","gene"
"ENSMUSG00000039578","6","gene"
"ENSMUSG00000039579","4","gene"
"ENSMUSG00000039585","9","gene"
"ENSMUSG00000039599","14","gene"
"ENSMUSG00000039601","17","gene"
"ENSMUSG00000039607","9","gene"
"ENSMUSG00000039608","7","gene"
"ENSMUSG00000039611","4","gene"
"ENSMUSG00000039615","17","gene"
"ENSMUSG00000039616","18","gene"
"ENSMUSG00000039617","3","pseudogene"
"ENSMUSG00000039620","8","gene"
"ENSMUSG00000039621","2","gene"
"ENSMUSG00000039623","5","gene"
"ENSMUSG00000039628","17","gene"
"ENSMUSG00000039629","6","gene"
"ENSMUSG00000039630","1","gene"
"ENSMUSG00000039632","9","gene"
"ENSMUSG00000039633","8","gene"
"ENSMUSG00000039634","4","gene"
"ENSMUSG00000039637","16","gene"
"ENSMUSG00000039639","16","gene"
"ENSMUSG00000039640","11","gene"
"ENSMUSG00000039646","16","gene"
"ENSMUSG00000039648","2","gene"
"ENSMUSG00000039652","19","gene"
"ENSMUSG00000039653","4","gene"
"ENSMUSG00000039656","17","gene"
"ENSMUSG00000039660","2","gene"
"ENSMUSG00000039661","8","gene"
"ENSMUSG00000039662","4","gene"
"ENSMUSG00000039670","11","gene"
"ENSMUSG00000039671","2","gene"
"ENSMUSG00000039672","16","gene"
"ENSMUSG00000039676","15","gene"
"ENSMUSG00000039678","2","gene"
"ENSMUSG00000039680","16","gene"
"ENSMUSG00000039682","5","gene"
"ENSMUSG00000039683","5","gene"
"ENSMUSG00000039684","10","pseudogene"
"ENSMUSG00000039686","2","gene"
"ENSMUSG00000039691","11","gene"
"ENSMUSG00000039693","4","gene"
"ENSMUSG00000039697","10","gene"
"ENSMUSG00000039699","19","gene"
"ENSMUSG00000039701","3","gene"
"ENSMUSG00000039703","11","gene"
"ENSMUSG00000039704","15","gene"
"ENSMUSG00000039706","5","gene"
"ENSMUSG00000039710","3","gene"
"ENSMUSG00000039713","4","gene"
"ENSMUSG00000039714","9","gene"
"ENSMUSG00000039715","2","gene"
"ENSMUSG00000039716","9","gene"
"ENSMUSG00000039717","3","gene"
"ENSMUSG00000039720","8","gene"
"ENSMUSG00000039725","2","gene"
"ENSMUSG00000039728","7","gene"
"ENSMUSG00000039735","3","gene"
"ENSMUSG00000039737","5","gene"
"ENSMUSG00000039738","16","gene"
"ENSMUSG00000039740","4","gene"
"ENSMUSG00000039741","11","gene"
"ENSMUSG00000039742","6","gene"
"ENSMUSG00000039745","7","gene"
"ENSMUSG00000039747","5","gene"
"ENSMUSG00000039748","1","gene"
"ENSMUSG00000039753","5","gene"
"ENSMUSG00000039754","5","gene"
"ENSMUSG00000039756","3","gene"
"ENSMUSG00000039759","4","gene"
"ENSMUSG00000039760","10","gene"
"ENSMUSG00000039763","16","gene"
"ENSMUSG00000039765","5","gene"
"ENSMUSG00000039768","4","gene"
"ENSMUSG00000039770","17","gene"
"ENSMUSG00000039771","5","gene"
"ENSMUSG00000039774","4","gene"
"ENSMUSG00000039775","8","gene"
"ENSMUSG00000039781","11","gene"
"ENSMUSG00000039782","5","gene"
"ENSMUSG00000039783","1","gene"
"ENSMUSG00000039785","8","gene"
"ENSMUSG00000039787","2","gene"
"ENSMUSG00000039789","16","gene"
"ENSMUSG00000039795","3","gene"
"ENSMUSG00000039798","2","ncRNA_gene"
"ENSMUSG00000039801","15","gene"
"ENSMUSG00000039804","2","gene"
"ENSMUSG00000039809","4","gene"
"ENSMUSG00000039810","10","gene"
"ENSMUSG00000039813","4","gene"
"ENSMUSG00000039814","8","gene"
"ENSMUSG00000039824","10","gene"
"ENSMUSG00000039826","2","gene"
"ENSMUSG00000039828","15","gene"
"ENSMUSG00000039830","16","gene"
"ENSMUSG00000039831","3","gene"
"ENSMUSG00000039834","2","gene"
"ENSMUSG00000039835","10","gene"
"ENSMUSG00000039838","4","gene"
"ENSMUSG00000039840","18","gene"
"ENSMUSG00000039841","6","gene"
"ENSMUSG00000039842","8","gene"
"ENSMUSG00000039844","2","gene"
"ENSMUSG00000039849","2","gene"
"ENSMUSG00000039850","11","gene"
"ENSMUSG00000039851","16","gene"
"ENSMUSG00000039852","4","gene"
"ENSMUSG00000039853","4","gene"
"ENSMUSG00000039860","5","gene"
"ENSMUSG00000039865","3","gene"
"ENSMUSG00000039873","2","gene"
"ENSMUSG00000039878","10","gene"
"ENSMUSG00000039879","10","gene"
"ENSMUSG00000039883","5","gene"
"ENSMUSG00000039886","5","gene"
"ENSMUSG00000039887","3","gene"
"ENSMUSG00000039891","10","gene"
"ENSMUSG00000039899","5","gene"
"ENSMUSG00000039901","19","gene"
"ENSMUSG00000039903","16","gene"
"ENSMUSG00000039904","6","gene"
"ENSMUSG00000039908","11","gene"
"ENSMUSG00000039910","10","gene"
"ENSMUSG00000039911","4","gene"
"ENSMUSG00000039913","2","gene"
"ENSMUSG00000039914","10","gene"
"ENSMUSG00000039917","5","gene"
"ENSMUSG00000039929","16","gene"
"ENSMUSG00000039934","5","gene"
"ENSMUSG00000039936","4","gene"
"ENSMUSG00000039942","15","gene"
"ENSMUSG00000039943","2","gene"
"ENSMUSG00000039952","9","gene"
"ENSMUSG00000039953","4","gene"
"ENSMUSG00000039954","18","gene"
"ENSMUSG00000039956","16","gene"
"ENSMUSG00000039958","6","gene"
"ENSMUSG00000039959","5","gene"
"ENSMUSG00000039960","8","gene"
"ENSMUSG00000039962","9","gene"
"ENSMUSG00000039963","11","gene"
"ENSMUSG00000039967","4","gene"
"ENSMUSG00000039968","5","gene"
"ENSMUSG00000039976","11","gene"
"ENSMUSG00000039977","9","gene"
"ENSMUSG00000039981","10","gene"
"ENSMUSG00000039982","19","gene"
"ENSMUSG00000039983","2","gene"
"ENSMUSG00000039985","6","gene"
"ENSMUSG00000039987","5","gene"
"ENSMUSG00000039988","3","gene"
"ENSMUSG00000039989","11","gene"
"ENSMUSG00000039990","7","gene"
"ENSMUSG00000039994","10","gene"
"ENSMUSG00000039997","1","gene"
"ENSMUSG00000040003","5","gene"
"ENSMUSG00000040006","10","gene"
"ENSMUSG00000040007","2","gene"
"ENSMUSG00000040009","10","gene"
"ENSMUSG00000040010","8","gene"
"ENSMUSG00000040013","5","gene"
"ENSMUSG00000040016","3","gene"
"ENSMUSG00000040017","7","gene"
"ENSMUSG00000040018","19","gene"
"ENSMUSG00000040021","10","gene"
"ENSMUSG00000040022","19","gene"
"ENSMUSG00000040025","4","gene"
"ENSMUSG00000040026","7","gene"
"ENSMUSG00000040028","8","gene"
"ENSMUSG00000040029","6","gene"
"ENSMUSG00000040033","10","gene"
"ENSMUSG00000040034","10","gene"
"ENSMUSG00000040035","2","gene"
"ENSMUSG00000040037","3","gene"
"ENSMUSG00000040040","14","gene"
"ENSMUSG00000040043","10","gene"
"ENSMUSG00000040044","4","gene"
"ENSMUSG00000040046","7","gene"
"ENSMUSG00000040048","17","gene"
"ENSMUSG00000040054","10","gene"
"ENSMUSG00000040055","14","gene"
"ENSMUSG00000040061","2","gene"
"ENSMUSG00000040065","19","gene"
"ENSMUSG00000040078","6","pseudogene"
"ENSMUSG00000040084","2","gene"
"ENSMUSG00000040086","3","gene"
"ENSMUSG00000040093","2","gene"
"ENSMUSG00000040097","17","gene"
"ENSMUSG00000040102","6","gene"
"ENSMUSG00000040105","19","gene"
"ENSMUSG00000040111","9","gene"
"ENSMUSG00000040112","6","gene"
"ENSMUSG00000040113","1","gene"
"ENSMUSG00000040118","5","gene"
"ENSMUSG00000040121","6","gene"
"ENSMUSG00000040123","14","gene"
"ENSMUSG00000040124","1","gene"
"ENSMUSG00000040125","7","gene"
"ENSMUSG00000040127","10","gene"
"ENSMUSG00000040128","4","gene"
"ENSMUSG00000040132","2","gene"
"ENSMUSG00000040133","2","gene"
"ENSMUSG00000040134","10","gene"
"ENSMUSG00000040136","7","gene"
"ENSMUSG00000040138","X","gene"
"ENSMUSG00000040139","7","gene"
"ENSMUSG00000040140","17","gene"
"ENSMUSG00000040146","9","gene"
"ENSMUSG00000040147","X","gene"
"ENSMUSG00000040148","7","gene"
"ENSMUSG00000040151","3","gene"
"ENSMUSG00000040152","2","gene"
"ENSMUSG00000040154","2","gene"
"ENSMUSG00000040158","11","gene"
"ENSMUSG00000040163","6","gene"
"ENSMUSG00000040164","2","gene"
"ENSMUSG00000040165","8","gene"
"ENSMUSG00000040167","7","gene"
"ENSMUSG00000040170","1","gene"
"ENSMUSG00000040174","2","gene"
"ENSMUSG00000040177","7","gene"
"ENSMUSG00000040181","1","gene"
"ENSMUSG00000040183","4","gene"
"ENSMUSG00000040187","6","gene"
"ENSMUSG00000040188","9","gene"
"ENSMUSG00000040189","7","gene"
"ENSMUSG00000040195","10","gene"
"ENSMUSG00000040197","8","gene"
"ENSMUSG00000040204","9","gene"
"ENSMUSG00000040205","7","gene"
"ENSMUSG00000040209","3","gene"
"ENSMUSG00000040212","7","gene"
"ENSMUSG00000040213","3","gene"
"ENSMUSG00000040217","3","pseudogene"
"ENSMUSG00000040219","9","gene"
"ENSMUSG00000040220","8","gene"
"ENSMUSG00000040225","1","gene"
"ENSMUSG00000040229","X","gene"
"ENSMUSG00000040231","7","gene"
"ENSMUSG00000040234","6","gene"
"ENSMUSG00000040236","8","gene"
"ENSMUSG00000040242","6","gene"
"ENSMUSG00000040247","19","gene"
"ENSMUSG00000040249","10","gene"
"ENSMUSG00000040250","6","gene"
"ENSMUSG00000040253","3","gene"
"ENSMUSG00000040254","5","gene"
"ENSMUSG00000040258","10","gene"
"ENSMUSG00000040260","17","gene"
"ENSMUSG00000040263","8","gene"
"ENSMUSG00000040264","3","gene"
"ENSMUSG00000040265","1","gene"
"ENSMUSG00000040268","7","gene"
"ENSMUSG00000040269","3","gene"
"ENSMUSG00000040270","4","gene"
"ENSMUSG00000040272","2","gene"
"ENSMUSG00000040274","5","gene"
"ENSMUSG00000040276","17","gene"
"ENSMUSG00000040280","10","gene"
"ENSMUSG00000040282","2","gene"
"ENSMUSG00000040283","11","gene"
"ENSMUSG00000040284","14","gene"
"ENSMUSG00000040287","10","gene"
"ENSMUSG00000040289","3","gene"
"ENSMUSG00000040296","4","gene"
"ENSMUSG00000040297","1","gene"
"ENSMUSG00000040298","7","gene"
"ENSMUSG00000040302","5","gene"
"ENSMUSG00000040310","2","gene"
"ENSMUSG00000040312","17","gene"
"ENSMUSG00000040314","14","gene"
"ENSMUSG00000040321","2","gene"
"ENSMUSG00000040322","3","gene"
"ENSMUSG00000040323","1","pseudogene"
"ENSMUSG00000040325","9","gene"
"ENSMUSG00000040327","17","gene"
"ENSMUSG00000040328","11","gene"
"ENSMUSG00000040329","3","gene"
"ENSMUSG00000040331","7","gene"
"ENSMUSG00000040339","3","gene"
"ENSMUSG00000040340","8","gene"
"ENSMUSG00000040345","10","gene"
"ENSMUSG00000040350","11","gene"
"ENSMUSG00000040351","5","gene"
"ENSMUSG00000040354","10","gene"
"ENSMUSG00000040356","17","gene"
"ENSMUSG00000040359","4","gene"
"ENSMUSG00000040363","X","gene"
"ENSMUSG00000040364","7","gene"
"ENSMUSG00000040365","11","gene"
"ENSMUSG00000040367","5","gene"
"ENSMUSG00000040370","6","gene"
"ENSMUSG00000040372","4","gene"
"ENSMUSG00000040373","11","gene"
"ENSMUSG00000040374","3","gene"
"ENSMUSG00000040380","14","gene"
"ENSMUSG00000040383","2","gene"
"ENSMUSG00000040385","19","gene"
"ENSMUSG00000040387","4","gene"
"ENSMUSG00000040389","3","gene"
"ENSMUSG00000040390","7","gene"
"ENSMUSG00000040396","8","gene"
"ENSMUSG00000040405","11","gene"
"ENSMUSG00000040407","5","gene"
"ENSMUSG00000040410","4","gene"
"ENSMUSG00000040412","3","gene"
"ENSMUSG00000040413","11","gene"
"ENSMUSG00000040414","19","gene"
"ENSMUSG00000040415","10","gene"
"ENSMUSG00000040420","15","gene"
"ENSMUSG00000040423","1","gene"
"ENSMUSG00000040424","7","gene"
"ENSMUSG00000040428","7","gene"
"ENSMUSG00000040429","5","gene"
"ENSMUSG00000040430","11","gene"
"ENSMUSG00000040432","14","gene"
"ENSMUSG00000040433","9","gene"
"ENSMUSG00000040434","2","gene"
"ENSMUSG00000040435","7","gene"
"ENSMUSG00000040441","10","gene"
"ENSMUSG00000040446","18","gene"
"ENSMUSG00000040447","11","gene"
"ENSMUSG00000040451","19","gene"
"ENSMUSG00000040452","15","gene"
"ENSMUSG00000040455","4","gene"
"ENSMUSG00000040456","X","gene"
"ENSMUSG00000040459","8","gene"
"ENSMUSG00000040462","10","gene"
"ENSMUSG00000040463","11","gene"
"ENSMUSG00000040464","5","gene"
"ENSMUSG00000040466","7","gene"
"ENSMUSG00000040467","8","ncRNA_gene"
"ENSMUSG00000040471","11","gene"
"ENSMUSG00000040472","14","gene"
"ENSMUSG00000040473","5","gene"
"ENSMUSG00000040478","4","gene"
"ENSMUSG00000040479","2","gene"
"ENSMUSG00000040481","11","gene"
"ENSMUSG00000040482","17","gene"
"ENSMUSG00000040483","11","gene"
"ENSMUSG00000040485","1","gene"
"ENSMUSG00000040488","7","gene"
"ENSMUSG00000040489","11","gene"
"ENSMUSG00000040490","17","gene"
"ENSMUSG00000040495","2","gene"
"ENSMUSG00000040498","7","gene"
"ENSMUSG00000040502","10","gene"
"ENSMUSG00000040505","17","gene"
"ENSMUSG00000040506","2","gene"
"ENSMUSG00000040511","7","gene"
"ENSMUSG00000040514","5","gene"
"ENSMUSG00000040520","4","gene"
"ENSMUSG00000040521","10","gene"
"ENSMUSG00000040522","X","gene"
"ENSMUSG00000040524","9","gene"
"ENSMUSG00000040525","7","gene"
"ENSMUSG00000040528","11","gene"
"ENSMUSG00000040532","5","gene"
"ENSMUSG00000040533","4","gene"
"ENSMUSG00000040536","4","gene"
"ENSMUSG00000040537","5","gene"
"ENSMUSG00000040540","10","pseudogene"
"ENSMUSG00000040541","9","gene"
"ENSMUSG00000040543","11","gene"
"ENSMUSG00000040548","11","gene"
"ENSMUSG00000040549","2","gene"
"ENSMUSG00000040550","4","gene"
"ENSMUSG00000040552","6","gene"
"ENSMUSG00000040554","11","gene"
"ENSMUSG00000040557","5","gene"
"ENSMUSG00000040560","18","gene"
"ENSMUSG00000040562","3","gene"
"ENSMUSG00000040563","9","gene"
"ENSMUSG00000040564","7","gene"
"ENSMUSG00000040565","19","gene"
"ENSMUSG00000040569","4","gene"
"ENSMUSG00000040570","5","gene"
"ENSMUSG00000040576","5","gene"
"ENSMUSG00000040583","7","gene"
"ENSMUSG00000040584","5","gene"
"ENSMUSG00000040586","X","gene"
"ENSMUSG00000040591","2","gene"
"ENSMUSG00000040592","11","gene"
"ENSMUSG00000040594","11","gene"
"ENSMUSG00000040596","1","gene"
"ENSMUSG00000040599","11","gene"
"ENSMUSG00000040600","3","gene"
"ENSMUSG00000040601","7","gene"
"ENSMUSG00000040605","16","gene"
"ENSMUSG00000040606","4","gene"
"ENSMUSG00000040610","11","gene"
"ENSMUSG00000040612","1","gene"
"ENSMUSG00000040613","6","gene"
"ENSMUSG00000040614","7","gene"
"ENSMUSG00000040616","4","gene"
"ENSMUSG00000040618","14","gene"
"ENSMUSG00000040620","11","gene"
"ENSMUSG00000040621","X","gene"
"ENSMUSG00000040624","10","gene"
"ENSMUSG00000040627","6","gene"
"ENSMUSG00000040629","1","gene"
"ENSMUSG00000040631","8","gene"
"ENSMUSG00000040632","14","gene"
"ENSMUSG00000040640","14","gene"
"ENSMUSG00000040648","1","gene"
"ENSMUSG00000040649","6","gene"
"ENSMUSG00000040650","7","gene"
"ENSMUSG00000040651","14","gene"
"ENSMUSG00000040652","9","gene"
"ENSMUSG00000040653","10","gene"
"ENSMUSG00000040657","6","ncRNA_gene"
"ENSMUSG00000040658","17","gene"
"ENSMUSG00000040659","4","gene"
"ENSMUSG00000040660","7","gene"
"ENSMUSG00000040661","9","gene"
"ENSMUSG00000040663","19","gene"
"ENSMUSG00000040666","16","gene"
"ENSMUSG00000040667","11","gene"
"ENSMUSG00000040669","6","gene"
"ENSMUSG00000040675","10","gene"
"ENSMUSG00000040680","17","gene"
"ENSMUSG00000040681","16","gene"
"ENSMUSG00000040687","2","gene"
"ENSMUSG00000040688","17","gene"
"ENSMUSG00000040690","4","gene"
"ENSMUSG00000040693","1","gene"
"ENSMUSG00000040694","17","gene"
"ENSMUSG00000040697","4","gene"
"ENSMUSG00000040699","11","gene"
"ENSMUSG00000040701","14","gene"
"ENSMUSG00000040703","7","gene"
"ENSMUSG00000040705","7","ncRNA_gene"
"ENSMUSG00000040706","4","gene"
"ENSMUSG00000040710","1","gene"
"ENSMUSG00000040711","11","gene"
"ENSMUSG00000040712","11","gene"
"ENSMUSG00000040713","1","gene"
"ENSMUSG00000040714","7","gene"
"ENSMUSG00000040715","4","gene"
"ENSMUSG00000040717","14","gene"
"ENSMUSG00000040720","4","gene"
"ENSMUSG00000040721","14","gene"
"ENSMUSG00000040722","9","gene"
"ENSMUSG00000040723","1","gene"
"ENSMUSG00000040724","3","gene"
"ENSMUSG00000040725","7","gene"
"ENSMUSG00000040726","14","gene"
"ENSMUSG00000040728","4","gene"
"ENSMUSG00000040729","9","gene"
"ENSMUSG00000040731","5","gene"
"ENSMUSG00000040732","16","gene"
"ENSMUSG00000040734","7","gene"
"ENSMUSG00000040738","4","gene"
"ENSMUSG00000040740","4","gene"
"ENSMUSG00000040746","11","gene"
"ENSMUSG00000040747","3","gene"
"ENSMUSG00000040749","X","gene"
"ENSMUSG00000040751","5","gene"
"ENSMUSG00000040752","14","gene"
"ENSMUSG00000040759","14","gene"
"ENSMUSG00000040760","14","gene"
"ENSMUSG00000040761","4","gene"
"ENSMUSG00000040767","11","gene"
"ENSMUSG00000040770","14","gene"
"ENSMUSG00000040771","17","gene"
"ENSMUSG00000040774","3","gene"
"ENSMUSG00000040775","17","pseudogene"
"ENSMUSG00000040782","1","gene"
"ENSMUSG00000040785","16","gene"
"ENSMUSG00000040794","2","gene"
"ENSMUSG00000040795","4","gene"
"ENSMUSG00000040797","6","gene"
"ENSMUSG00000040808","X","gene"
"ENSMUSG00000040809","3","gene"
"ENSMUSG00000040811","7","gene"
"ENSMUSG00000040812","2","gene"
